##BLOCKS= 7          
Note:
PROTOCOL REVISION HISTORY:
v1.0.0: original protocol created (MDC)
v1.0.1: 06/30/05 - Updated, spell checked, & formatted to new style guide. (DW)
v1.0.2: 10/02/05 - Updated Reader Suitability section for v5.0 release. (DW)

READER SUITABILITY:
VMax, VersaMax
SpectraMax, Plus, Plus 384
SpectraMax 190, 340PC, 340PC 384
SpectraMax Gemini, Gemini XS, Gemini EM, Gemini XPS
SpectraMax M2, SpectraMax M5
FlexStation, II, II 384
~End
Note:
Basic Kinetic Protocol

Unfamiliar with SoftMax Pro software?
If you are new to SoftMax Pro software, we strongly recommended spending time familiarizing yourself with the powerful features by completing at least one of the tutorials located in the Tutorials folder.

Use this protocol as the starting point for kinetic assays that have unknowns that will have concentrations interpolated from a standard curve.  Modify the instrument setup for your assay.  You may add more groups of unknowns, controls, or standards to the template to fit your assay.
~End
Plate:	Plate01	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	501	7500	15				1	407	1	12	96	364	Automatic	None			12	Automatic			1	1	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	22.30	498.233	517.633	532.068	598.834	550.788	563.976	617.071	673.797	706.293	1045.655	1598.298	647.739																																																																																					
0:15	22.30	531.318	546.238	566.667	627.215	580.098	585.141	636.138	697.727	733.22	1127.402	1711.42	647.507																																																																																					
0:30	22.30	544.674	559.492	586.844	660.339	582.543	601.001	665.993	710.967	754.355	1196.971	1812.7	655.932																																																																																					
0:45	22.30	559.513	575.749	598.932	683.561	602.683	616.034	679.425	741.941	784.605	1271.401	1883.013	622.044																																																																																					
1:00	22.30	580.015	592.924	621.93	722.02	610.46	623.051	697.369	764.329	823.863	1339.57	1983.006	659.683																																																																																					
1:15	22.30	593.563	598.291	651.593	777.349	633.921	640.255	727.074	802.75	838.947	1398.808	2074.019	651.352																																																																																					
1:30	22.30	624.278	621.84	669.019	805.196	657.601	656.912	749.078	836.181	868.995	1461.641	2149.301	653.202																																																																																					
1:45	22.30	640.166	642.549	698.065	840.239	678.271	670.359	777.923	867.042	903.504	1520.125	2238.723	646.316																																																																																					
2:00	22.30	661.615	660.449	718.807	860.264	702.135	686.171	809.536	896.635	931.85	1575.925	2299.352	632.655																																																																																					
2:15	22.30	685.375	682.218	746.981	886.828	728.859	716.632	831.826	929.515	965.628	1637.154	2362.385	629.318																																																																																					
2:30	22.30	713.42	706.793	774.716	913.34	747.831	732.034	861.917	966.586	993.305	1658.96	2442.037	636.518																																																																																					
2:45	22.30	731.292	731.804	794.42	942.257	774.894	757.082	892.829	1004.974	1025.985	1745.079	2495.257	642.709																																																																																					
3:00	22.30	760.031	760.853	828.699	988.61	795.542	781.381	913.457	1033.146	1056.809	1798.991	2549.232	639.278																																																																																					
